model,balancing,class_weight,threshold_mode,accuracy,precision,recall,f1,roc_auc,pr_auc,true_negatives,false_positives,false_negatives,true_positives
KNN,None,None,default,0.9983322214809873,1.0,0.030612244897959183,0.0594059405940594,0.6363927394255394,0.1149185470050518,56864,0,95,3
KNN,None,None,recall,0.0017204452090867595,0.0017204452090867595,1.0,0.003434980722046968,0.6363927394255394,0.1149185470050518,0,56864,0,98
KNN,None,Balanced,default,0.9983322214809873,1.0,0.030612244897959183,0.0594059405940594,0.6363927394255394,0.1149185470050518,56864,0,95,3
KNN,None,Balanced,recall,0.0017204452090867595,0.0017204452090867595,1.0,0.003434980722046968,0.6363927394255394,0.1149185470050518,0,56864,0,98
KNN,Undersampling,None,default,0.6512587338927707,0.003316749585406302,0.673469387755102,0.006600990148522278,0.7126924929369609,0.004847901477975321,37031,19833,32,66
KNN,Undersampling,None,recall,0.0017204452090867595,0.0017204452090867595,1.0,0.003434980722046968,0.7126924929369609,0.004847901477975321,0,56864,0,98
KNN,SMOTE,None,default,0.9452793090130263,0.01665065642010887,0.5306122448979592,0.03228810928283142,0.7600553199614116,0.029906557291743782,53793,3071,46,52
KNN,SMOTE,None,recall,0.0017204452090867595,0.0017204452090867595,1.0,0.003434980722046968,0.7600553199614116,0.029906557291743782,0,56864,0,98
KNN,SMOTE_Tomek,None,default,0.9455075313366806,0.016720257234726688,0.5306122448979592,0.032418952618453865,0.7606988173716307,0.02938956460831009,53806,3058,46,52
KNN,SMOTE_Tomek,None,recall,0.0017204452090867595,0.0017204452090867595,1.0,0.003434980722046968,0.7606988173716307,0.02938956460831009,0,56864,0,98
KNN,ClusterCentroids,None,default,0.5821424809522138,0.0031857813547954395,0.7755102040816326,0.006345495533105118,0.7302268104062108,0.008205490178059254,33084,23780,22,76
KNN,ClusterCentroids,None,recall,0.047382465503318004,0.001766101882002318,0.9795918367346939,0.0035258470296575155,0.7302268104062108,0.008205490178059254,2603,54261,2,96
KNN,None,None,default,0.9983322214809873,1.0,0.030612244897959183,0.0594059405940594,0.6363927394255394,0.1149185470050518,56864,0,95,3
KNN,None,None,recall,0.0017204452090867595,0.0017204452090867595,1.0,0.003434980722046968,0.6363927394255394,0.1149185470050518,0,56864,0,98
KNN,None,Balanced,default,0.9983322214809873,1.0,0.030612244897959183,0.0594059405940594,0.6363927394255394,0.1149185470050518,56864,0,95,3
KNN,None,Balanced,recall,0.0017204452090867595,0.0017204452090867595,1.0,0.003434980722046968,0.6363927394255394,0.1149185470050518,0,56864,0,98
KNN,Undersampling,None,default,0.6512587338927707,0.003316749585406302,0.673469387755102,0.006600990148522278,0.7126924929369609,0.004847901477975321,37031,19833,32,66
KNN,Undersampling,None,recall,0.0017204452090867595,0.0017204452090867595,1.0,0.003434980722046968,0.7126924929369609,0.004847901477975321,0,56864,0,98
KNN,Undersampling,Balanced,default,0.6512587338927707,0.003316749585406302,0.673469387755102,0.006600990148522278,0.7126924929369609,0.004847901477975321,37031,19833,32,66
KNN,Undersampling,Balanced,recall,0.0017204452090867595,0.0017204452090867595,1.0,0.003434980722046968,0.7126924929369609,0.004847901477975321,0,56864,0,98
KNN,SMOTE,None,default,0.9452793090130263,0.01665065642010887,0.5306122448979592,0.03228810928283142,0.7600553199614116,0.029906557291743782,53793,3071,46,52
