configuration,interaction_type,feature_1,feature_2,interaction
RF_Baseline,interaction_global_mean,V14,V17,0.004695122763266289
RF_Baseline,interaction_global_mean,V12,V17,0.004072903135511421
RF_Baseline,interaction_global_mean,V12,V14,0.0025635355277340696
RF_Baseline,interaction_global_mean,V10,V17,0.0024847431000473053
RF_Baseline,interaction_global_mean,V16,V17,0.0019895419362209376
RF_Baseline,interaction_global_mean,V11,V17,0.001643257853347103
RF_Baseline,interaction_global_mean,V14,V16,0.0014968256572586555
RF_Baseline,interaction_global_mean,V12,V16,0.0014592718848658991
RF_Baseline,interaction_global_mean,V10,V12,0.0013734202949244767
RF_Baseline,interaction_global_mean,V10,V14,0.001236700842499909
RF_Baseline,interaction_global_median,V1,V28,7.141816453283149e-05
RF_Baseline,interaction_global_median,V10,V14,5.796049825267766e-05
RF_Baseline,interaction_global_median,V1,V4,5.28286288308351e-05
RF_Baseline,interaction_global_median,V12,V14,5.2572920060594834e-05
RF_Baseline,interaction_global_median,V1,V2,4.533824377258414e-05
RF_Baseline,interaction_global_median,V12,V17,4.102257138768868e-05
RF_Baseline,interaction_global_median,V1,V10,3.703530532182483e-05
RF_Baseline,interaction_global_median,V10,V12,3.6339764822901374e-05
RF_Baseline,interaction_global_median,V4,V17,3.230302830025794e-05
RF_Baseline,interaction_global_median,V14,V17,2.964332303006151e-05
RF_Baseline,interaction_fraud_mean,V14,V17,0.04679049963470833
RF_Baseline,interaction_fraud_mean,V12,V17,0.040439867284507235
RF_Baseline,interaction_fraud_mean,V12,V14,0.02517616421357854
RF_Baseline,interaction_fraud_mean,V10,V17,0.02470387168511317
RF_Baseline,interaction_fraud_mean,V16,V17,0.01976370758625784
RF_Baseline,interaction_fraud_mean,V11,V17,0.016283133446128775
RF_Baseline,interaction_fraud_mean,V14,V16,0.014599367008075135
RF_Baseline,interaction_fraud_mean,V12,V16,0.014450978832922621
RF_Baseline,interaction_fraud_mean,V10,V12,0.01345259370049706
RF_Baseline,interaction_fraud_mean,V10,V14,0.011983134649628954
RF_Baseline,interaction_fraud_median,V14,V17,0.062326922681027075
RF_Baseline,interaction_fraud_median,V12,V17,0.05875074160080949
RF_Baseline,interaction_fraud_median,V10,V17,0.030223976613947698
RF_Baseline,interaction_fraud_median,V16,V17,0.027390749446174846
RF_Baseline,interaction_fraud_median,V12,V14,0.02709891013948299
RF_Baseline,interaction_fraud_median,V10,V12,0.014717648382708637
RF_Baseline,interaction_fraud_median,V11,V17,0.014186250542648271
RF_Baseline,interaction_fraud_median,V14,V21,0.01409201391808296
RF_Baseline,interaction_fraud_median,V10,V11,0.009253362340094353
RF_Baseline,interaction_fraud_median,V11,V14,0.008996706755393684
